Bubble Sort/t/t, n = 100/t, Time taken = 0.000000
Merge Sort/t/t, n = 100/t, Time taken = 0.000000
Selection Sort/t/t, n = 100/t, Time taken = 0.000000
Bubble Sort/t/t, n = 200/t, Time taken = 0.000000
Merge Sort/t/t, n = 200/t, Time taken = 0.000000
Selection Sort/t/t, n = 200/t, Time taken = 0.000000
Bubble Sort/t/t, n = 300/t, Time taken = 0.000000
Merge Sort/t/t, n = 300/t, Time taken = 0.000000
Selection Sort/t/t, n = 300/t, Time taken = 0.000000
Bubble Sort/t/t, n = 400/t, Time taken = 0.000000
Merge Sort/t/t, n = 400/t, Time taken = 0.000000
Selection Sort/t/t, n = 400/t, Time taken = 0.000000
Bubble Sort/t/t, n = 500/t, Time taken = 0.000000
Merge Sort/t/t, n = 500/t, Time taken = 0.000000
Selection Sort/t/t, n = 500/t, Time taken = 0.000000
Bubble Sort/t/t, n = 600/t, Time taken = 0.000000
Merge Sort/t/t, n = 600/t, Time taken = 0.000000
Selection Sort/t/t, n = 600/t, Time taken = 0.000000
Bubble Sort/t/t, n = 700/t, Time taken = 0.000000
Merge Sort/t/t, n = 700/t, Time taken = 0.000000
Selection Sort/t/t, n = 700/t, Time taken = 0.000000
Bubble Sort/t/t, n = 800/t, Time taken = 0.000000
Merge Sort/t/t, n = 800/t, Time taken = 0.000000
Selection Sort/t/t, n = 800/t, Time taken = 0.015000
Bubble Sort/t/t, n = 900/t, Time taken = 0.000000
Merge Sort/t/t, n = 900/t, Time taken = 0.000000
Selection Sort/t/t, n = 900/t, Time taken = 0.000000
Bubble Sort/t/t, n = 1000/t, Time taken = 0.000000
Merge Sort/t/t, n = 1000/t, Time taken = 0.000000
Selection Sort/t/t, n = 1000/t, Time taken = 0.000000
